,Data,Godzina,ZAP
2,20160101,3,13841.413
3,20160101,4,13375.913
4,20160101,5,13163.563
5,20160101,6,13132.988000000001
6,20160101,7,13185.875
7,20160101,8,13069.825
8,20160101,9,13045.488000000001
9,20160101,10,13587.788
10,20160101,11,14165.975
11,20160101,12,14665.263
12,20160101,13,15063.813
13,20160101,14,15467.475
14,20160101,15,15559.088
15,20160101,16,15761.775
16,20160101,17,17149.313000000002
17,20160101,18,17579.4
18,20160101,19,17656.7
19,20160101,20,17638.663
20,20160101,21,17355.313000000002
21,20160101,22,16668.038
22,20160101,23,15962.038
23,20160101,24,14805.45
24,20160102,1,13885.038
25,20160102,2,13338.438
26,20160102,3,13106.35
27,20160102,4,13080.2
28,20160102,5,13205.075
29,20160102,6,13566.538
30,20160102,7,14536.9
31,20160102,8,15193.188
32,20160102,9,16015.088
33,20160102,10,17308.463
34,20160102,11,18013.688000000002
35,20160102,12,18307.425
36,20160102,13,18404.15
37,20160102,14,18720.025
38,20160102,15,18686.588
39,20160102,16,18776.138
40,20160102,17,20243.175
41,20160102,18,20425.688000000002
42,20160102,19,20315.05
43,20160102,20,20163.625
44,20160102,21,19775.5
45,20160102,22,18718.063000000002
46,20160102,23,17791.013
47,20160102,24,16586.775
48,20160103,1,15480.475
49,20160103,2,14745.513
50,20160103,3,14373.175
51,20160103,4,14240.913
52,20160103,5,14351.825
53,20160103,6,14497.938
54,20160103,7,15034.963
55,20160103,8,15409.85
56,20160103,9,15937.15
57,20160103,10,17016.313000000002
58,20160103,11,17796.275
59,20160103,12,18104.75
60,20160103,13,18399.813000000002
61,20160103,14,18649.913
62,20160103,15,18508.863
63,20160103,16,18631.388
64,20160103,17,20041.05
65,20160103,18,20535.15
66,20160103,19,20684.263
67,20160103,20,20754.588
68,20160103,21,20148.538
69,20160103,22,19124.925
70,20160103,23,18115.975
71,20160103,24,16838.4
72,20160104,1,15852.788
73,20160104,2,15339.013
74,20160104,3,15219.638
75,20160104,4,15233.3
76,20160104,5,15583.425
77,20160104,6,16445.363
78,20160104,7,19139.975
79,20160104,8,21202.475
80,20160104,9,22263.237999999998
81,20160104,10,23129.888
82,20160104,11,23409.1
83,20160104,12,23607.487999999998
84,20160104,13,23628.575
85,20160104,14,23873.162999999997
86,20160104,15,23592.725
87,20160104,16,23603.925
88,20160104,17,24766.025
89,20160104,18,24894.125
90,20160104,19,24511.388
91,20160104,20,24246.638
92,20160104,21,23554.5
93,20160104,22,22090.825
94,20160104,23,20588.713
95,20160104,24,19064.538
96,20160105,1,17962.338
97,20160105,2,17342.4
98,20160105,3,16995.825
99,20160105,4,17004.075
100,20160105,5,17253.175
101,20160105,6,18003.463
102,20160105,7,20213.325
103,20160105,8,22201.688
104,20160105,9,23045.55
105,20160105,10,23622.875
106,20160105,11,23691.588
107,20160105,12,23926.662999999997
108,20160105,13,24008.313
109,20160105,14,24185.65
110,20160105,15,23890.025
111,20160105,16,23823.787999999997
112,20160105,17,24889.138
113,20160105,18,24941.088
114,20160105,19,24509.088
115,20160105,20,24183.9
116,20160105,21,23460.5
117,20160105,22,22046.775
118,20160105,23,20616.425
119,20160105,24,19220.413
120,20160106,1,17915.475
121,20160106,2,17056.713
122,20160106,3,16615.988
123,20160106,4,16509.988
124,20160106,5,16440.525
125,20160106,6,16297.288
126,20160106,7,16329.363000000001
127,20160106,8,16532.475
128,20160106,9,16882.675
129,20160106,10,17820.563000000002
130,20160106,11,18544.075
131,20160106,12,18927.438000000002
132,20160106,13,19100.863
133,20160106,14,19387.488
134,20160106,15,19134.013
135,20160106,16,19040.55
136,20160106,17,20255.25
137,20160106,18,20640.675
138,20160106,19,20663.225
139,20160106,20,20733.613
140,20160106,21,20387.55
141,20160106,22,19448.138
142,20160106,23,18559.125
143,20160106,24,17205.3
144,20160107,1,16218.638
145,20160107,2,15679.825
146,20160107,3,15468.75
147,20160107,4,15436.05
148,20160107,5,15773.025
149,20160107,6,16744.463
150,20160107,7,19776.638
151,20160107,8,22124.4
152,20160107,9,23163.8
153,20160107,10,23705.125
154,20160107,11,23738.063
155,20160107,12,23976.763
156,20160107,13,23962.412999999997
157,20160107,14,24149.55
158,20160107,15,23855.65
159,20160107,16,23905.813
160,20160107,17,24901.3
161,20160107,18,24901.25
162,20160107,19,24511.825
163,20160107,20,24298.588
164,20160107,21,23613.888
165,20160107,22,22116.55
166,20160107,23,20605.763
167,20160107,24,19165.488
168,20160108,1,17994.425
169,20160108,2,17367.75
170,20160108,3,17064.513
171,20160108,4,16969.488
172,20160108,5,17215.688000000002
173,20160108,6,17872.925
174,20160108,7,20439.638
175,20160108,8,22407.65
176,20160108,9,23182.338
177,20160108,10,23489.775
178,20160108,11,23593.075
179,20160108,12,23609.325
180,20160108,13,23598.162999999997
181,20160108,14,23724.875
182,20160108,15,23326.175
183,20160108,16,23133.15
184,20160108,17,24236.35
185,20160108,18,24445.975
186,20160108,19,24043.675
187,20160108,20,23772.25
188,20160108,21,23044.338
189,20160108,22,21567.9
190,20160108,23,20137.775
191,20160108,24,18688.575
192,20160109,1,17473.488
193,20160109,2,16784.9
194,20160109,3,16487.188000000002
195,20160109,4,16417.5
196,20160109,5,16445.413
197,20160109,6,16676.525
198,20160109,7,17543.75
199,20160109,8,18440.438000000002
200,20160109,9,19344.838
201,20160109,10,20385.525
202,20160109,11,20922.325
203,20160109,12,21157.662999999997
204,20160109,13,21143.425
205,20160109,14,21109.313
206,20160109,15,20641.613
207,20160109,16,20561.438000000002
208,20160109,17,21865.138
209,20160109,18,22024.125
210,20160109,19,21705.275
211,20160109,20,21480.1
212,20160109,21,20728.125
213,20160109,22,19645.638
214,20160109,23,18518.313000000002
215,20160109,24,17333.013
216,20160110,1,16126.725
217,20160110,2,15466.463
218,20160110,3,15026.25
219,20160110,4,14801.725
220,20160110,5,14899.05
221,20160110,6,15047.038
222,20160110,7,15514.575
223,20160110,8,15734.975
224,20160110,9,16229.9
225,20160110,10,17320.75
226,20160110,11,18083.925
227,20160110,12,18366.613
228,20160110,13,18571.825
229,20160110,14,18707.888
230,20160110,15,18505.613
231,20160110,16,18442.313000000002
232,20160110,17,19670.638
233,20160110,18,19997.488
234,20160110,19,20136.338
235,20160110,20,20190.225
236,20160110,21,19625.938000000002
237,20160110,22,18685.6
238,20160110,23,17705.2
239,20160110,24,16651.65
240,20160111,1,15682.113000000001
241,20160111,2,15165.7
242,20160111,3,15019.8
243,20160111,4,14986.688
244,20160111,5,15420.95
245,20160111,6,16453.35
246,20160111,7,19548.188000000002
247,20160111,8,21797.7
248,20160111,9,22761.487999999998
249,20160111,10,23190.2
250,20160111,11,23131.725
251,20160111,12,23400.15
252,20160111,13,23481.075
253,20160111,14,23686.325
254,20160111,15,23452.5
255,20160111,16,23481.813
256,20160111,17,24390.162999999997
257,20160111,18,24498.313
258,20160111,19,24150.313
259,20160111,20,23903.275
260,20160111,21,23293.175
261,20160111,22,21626.563
262,20160111,23,20028.338
263,20160111,24,18627.988
264,20160112,1,17351.575
265,20160112,2,16731.113
266,20160112,3,16412.175
267,20160112,4,16482.638
268,20160112,5,16688.05
269,20160112,6,17519.75
270,20160112,7,20124.913
271,20160112,8,22251.563
272,20160112,9,22947.025
273,20160112,10,23189.075
274,20160112,11,23316.725
275,20160112,12,23457.975
276,20160112,13,23575.65
277,20160112,14,23751.938
278,20160112,15,23385.237999999998
279,20160112,16,23505.638
280,20160112,17,24298.45
281,20160112,18,24518.05
282,20160112,19,24117.662999999997
283,20160112,20,24047.662999999997
284,20160112,21,23268.0
285,20160112,22,21675.862999999998
286,20160112,23,20049.813000000002
287,20160112,24,18509.975
288,20160113,1,17441.8
289,20160113,2,16812.675
290,20160113,3,16484.613
291,20160113,4,16519.225
292,20160113,5,16672.275
293,20160113,6,17327.5
294,20160113,7,19998.1
295,20160113,8,22093.713
296,20160113,9,22724.45
297,20160113,10,23071.7
298,20160113,11,23153.35
299,20160113,12,23390.138
300,20160113,13,23549.325
301,20160113,14,23764.375
302,20160113,15,23449.025
303,20160113,16,23421.188
304,20160113,17,24209.925
305,20160113,18,24336.388
306,20160113,19,23958.425
307,20160113,20,23774.175
308,20160113,21,23157.075
309,20160113,22,21649.325
310,20160113,23,19966.875
311,20160113,24,18616.688000000002
312,20160114,1,17568.563000000002
313,20160114,2,16980.25
314,20160114,3,16611.438000000002
315,20160114,4,16692.05
316,20160114,5,16950.875
317,20160114,6,17603.663
318,20160114,7,20191.925
319,20160114,8,22237.063
320,20160114,9,22981.525
321,20160114,10,23354.5
322,20160114,11,23291.575
323,20160114,12,23445.475
324,20160114,13,23511.95
325,20160114,14,23631.563
326,20160114,15,23257.987999999998
327,20160114,16,23047.787999999997
328,20160114,17,23999.025
329,20160114,18,24311.7
330,20160114,19,23986.013
331,20160114,20,23836.375
332,20160114,21,23140.638
333,20160114,22,21711.987999999998
334,20160114,23,20069.113
335,20160114,24,18721.138
336,20160115,1,17604.75
337,20160115,2,17002.075
338,20160115,3,16704.738
339,20160115,4,16723.563000000002
340,20160115,5,16963.788
341,20160115,6,17728.2
342,20160115,7,20429.525
343,20160115,8,22373.05
344,20160115,9,23049.65
345,20160115,10,23336.85
346,20160115,11,23228.25
347,20160115,12,23408.787999999997
348,20160115,13,23589.313
349,20160115,14,23674.537999999997
350,20160115,15,23290.963
351,20160115,16,23172.438
352,20160115,17,24108.237999999998
353,20160115,18,24428.175
354,20160115,19,23860.362999999998
355,20160115,20,23633.138
356,20160115,21,22897.1
357,20160115,22,21454.2
358,20160115,23,20053.05
359,20160115,24,18788.575
360,20160116,1,17638.025
361,20160116,2,16862.813000000002
362,20160116,3,16406.938000000002
363,20160116,4,16282.588
364,20160116,5,16390.863
365,20160116,6,16498.863
366,20160116,7,17485.263
367,20160116,8,18456.463
368,20160116,9,19482.55
369,20160116,10,20603.7
370,20160116,11,21126.438
371,20160116,12,21369.7
372,20160116,13,21232.225
373,20160116,14,21175.787999999997
374,20160116,15,20620.788
375,20160116,16,20366.55
376,20160116,17,21499.55
377,20160116,18,21944.162999999997
378,20160116,19,21677.037999999997
379,20160116,20,21432.6
380,20160116,21,20862.15
381,20160116,22,19791.575
382,20160116,23,18668.025
383,20160116,24,17497.975
384,20160117,1,16499.225
385,20160117,2,15749.475
386,20160117,3,15376.375
387,20160117,4,15251.413
388,20160117,5,15333.663
389,20160117,6,15515.663
390,20160117,7,15930.013
391,20160117,8,16186.888
392,20160117,9,16919.688000000002
393,20160117,10,17954.988
394,20160117,11,18605.675
395,20160117,12,18875.85
396,20160117,13,18886.25
397,20160117,14,18959.0
398,20160117,15,18771.888
399,20160117,16,18522.438000000002
400,20160117,17,19684.125
401,20160117,18,20406.65
402,20160117,19,20547.738
403,20160117,20,20688.6
404,20160117,21,20161.15
405,20160117,22,19179.175
406,20160117,23,18361.875
407,20160117,24,17221.725
408,20160118,1,16327.15
409,20160118,2,15835.338
410,20160118,3,15594.825
411,20160118,4,15704.313
412,20160118,5,16045.7
413,20160118,6,17042.838
414,20160118,7,20090.525
415,20160118,8,22308.537999999997
416,20160118,9,23319.625
417,20160118,10,23891.1
418,20160118,11,23801.612999999998
419,20160118,12,23950.463
420,20160118,13,23917.275
421,20160118,14,23978.763
422,20160118,15,23679.325
423,20160118,16,23442.213
424,20160118,17,24351.987999999998
425,20160118,18,24974.638
426,20160118,19,24681.425
427,20160118,20,24548.525
428,20160118,21,23908.063
429,20160118,22,22396.737999999998
430,20160118,23,20779.275
431,20160118,24,19362.8
432,20160119,1,18233.375
433,20160119,2,17675.35
434,20160119,3,17423.625
435,20160119,4,17475.6
436,20160119,5,17818.875
437,20160119,6,18557.363
438,20160119,7,21332.425
439,20160119,8,23164.487999999998
440,20160119,9,23816.987999999998
441,20160119,10,24209.825
442,20160119,11,24215.537999999997
443,20160119,12,24170.338
444,20160119,13,24147.35
445,20160119,14,24222.025
446,20160119,15,23823.362999999998
447,20160119,16,23625.438
448,20160119,17,24497.875
449,20160119,18,25147.85
450,20160119,19,24714.313
451,20160119,20,24547.4
452,20160119,21,23866.987999999998
453,20160119,22,22424.65
454,20160119,23,20894.15
455,20160119,24,19513.125
456,20160120,1,18481.013
457,20160120,2,17824.513
458,20160120,3,17578.363
459,20160120,4,17538.938000000002
460,20160120,5,17844.163
461,20160120,6,18504.688000000002
462,20160120,7,21164.475
463,20160120,8,22967.888
464,20160120,9,23802.438
465,20160120,10,24195.287999999997
466,20160120,11,24153.862999999998
467,20160120,12,24354.8
468,20160120,13,24440.825
469,20160120,14,24580.925
470,20160120,15,24168.95
471,20160120,16,23950.75
472,20160120,17,24759.35
473,20160120,18,25278.75
474,20160120,19,24977.425
475,20160120,20,24689.75
476,20160120,21,24017.525
477,20160120,22,22556.662999999997
478,20160120,23,20884.95
479,20160120,24,19422.825
480,20160121,1,18334.613
481,20160121,2,17717.513
482,20160121,3,17353.85
483,20160121,4,17333.075
484,20160121,5,17598.65
485,20160121,6,18298.138
486,20160121,7,20787.2
